Patient_County_Code,Admission_Start_Care_Date,RESP
60,20150903,2
61,20150903,2
62,20150903,2
58,20150904,8
59,20150904,9
60,20150904,6
61,20150904,4
62,20150904,3
58,20150905,3
59,20150905,9
60,20150905,2
61,20150905,4
62,20150905,1
58,20150906,9
59,20150906,7
60,20150906,5
61,20150906,6
62,20150906,1
58,20150907,3
59,20150907,2
60,20150907,5
61,20150907,8
62,20150907,2
58,20150908,4
59,20150908,8
60,20150908,6
61,20150908,6
62,20150908,1
58,20150909,5
59,20150909,11
60,20150909,2
61,20150909,11
62,20150909,2
58,20150910,8
59,20150910,9
60,20150910,6
61,20150910,7
62,20150910,1
58,20150911,7
59,20150911,6
60,20150911,5
61,20150911,3
62,20150911,3
58,20150912,11
59,20150912,7
60,20150912,5
61,20150912,7
62,20150912,5
58,20150913,4
59,20150913,12
60,20150913,2
61,20150913,2
62,20150913,2
58,20150914,6
59,20150914,9
60,20150914,2
61,20150914,7
62,20150914,4
58,20150915,4
59,20150915,14
60,20150915,5
61,20150915,10
62,20150915,1
58,20150916,10
59,20150916,4
60,20150916,3
61,20150916,8
62,20150916,5
58,20150917,4
59,20150917,14
60,20150917,4
61,20150917,8
62,20150917,2
58,20150918,11
59,20150918,11
60,20150918,4
61,20150918,13
62,20150918,2
58,20150919,8
59,20150919,13
60,20150919,3
61,20150919,13
62,20150919,2
58,20150920,2
59,20150920,13
60,20150920,5
61,20150920,5
62,20150920,2
58,20150921,12
59,20150921,27
60,20150921,4
61,20150921,10
62,20150921,6
58,20150922,10
59,20150922,12
60,20150922,10
61,20150922,9
62,20150922,2
58,20150923,10
59,20150923,13
60,20150923,9
61,20150923,10
62,20150923,3
58,20150924,13
59,20150924,15
60,20150924,10
61,20150924,12
62,20150924,4
58,20150925,17
59,20150925,23
60,20150925,9
61,20150925,16
62,20150925,2
58,20150926,13
59,20150926,19
60,20150926,2
61,20150926,18
62,20150926,2
58,20150927,23
59,20150927,25
60,20150927,10
61,20150927,20
62,20150927,8
58,20150928,37
59,20150928,31
60,20150928,21
61,20150928,25
62,20150928,6
58,20150929,52
59,20150929,56
60,20150929,27
61,20150929,39
62,20150929,6
58,20150930,43
59,20150930,52
60,20150930,29
61,20150930,39
62,20150930,13
58,20151001,37
59,20151001,60
60,20151001,24
61,20151001,40
62,20151001,12
58,20151002,51
59,20151002,52
60,20151002,28
61,20151002,44
62,20151002,13
58,20151003,50
59,20151003,49
60,20151003,26
61,20151003,36
62,20151003,10
58,20151004,41
59,20151004,53
60,20151004,20
61,20151004,39
62,20151004,5
58,20151005,64
59,20151005,64
60,20151005,45
61,20151005,59
62,20151005,17
58,20151006,57
59,20151006,57
60,20151006,35
61,20151006,48
62,20151006,11
58,20151007,75
59,20151007,73
60,20151007,24
61,20151007,51
62,20151007,16
58,20151008,44
59,20151008,63
60,20151008,34
61,20151008,34
62,20151008,8
58,20151009,62
59,20151009,59
60,20151009,29
61,20151009,43
62,20151009,12
58,20151010,63
59,20151010,44
60,20151010,31
61,20151010,39
62,20151010,10
58,20151011,62
59,20151011,45
60,20151011,22
61,20151011,37
62,20151011,9
58,20151012,73
59,20151012,63
60,20151012,33
61,20151012,40
62,20151012,13
58,20151013,72
59,20151013,68
60,20151013,43
61,20151013,48
62,20151013,7
58,20151014,49
59,20151014,62
60,20151014,33
61,20151014,44
62,20151014,14
58,20151015,53
59,20151015,55
60,20151015,33
61,20151015,27
62,20151015,10
58,20151016,50
59,20151016,63
60,20151016,33
61,20151016,60
62,20151016,15
58,20151017,41
59,20151017,47
60,20151017,26
61,20151017,38
62,20151017,6
58,20151018,40
59,20151018,59
60,20151018,26
61,20151018,29
62,20151018,9
58,20151019,56
59,20151019,68
60,20151019,35
61,20151019,42
62,20151019,11
58,20151020,59
59,20151020,51
60,20151020,29
61,20151020,46
62,20151020,9
58,20151021,58
59,20151021,52
60,20151021,31
61,20151021,55
62,20151021,8
58,20151022,53
59,20151022,55
60,20151022,40
61,20151022,33
62,20151022,14
58,20151023,54
59,20151023,56
60,20151023,36
61,20151023,41
62,20151023,13
58,20151024,44
59,20151024,46
60,20151024,24
61,20151024,43
62,20151024,10
58,20151025,50
59,20151025,40
60,20151025,17
61,20151025,36
62,20151025,5
58,20151026,66
59,20151026,38
60,20151026,38
61,20151026,47
